EAF,0.00,22.37,1245139.04,267757.13
ORGS,0.00,19.80,8570.96,217415.93
PUB,0.01,135.00,34449.40,179900.00
RMP,0.03,78.55,120487.05,121081.60
CTZ,0.00,26.73,52050.27,120300.00
CCD,0.01,25.55,105416.89,111250.00
SAB,1.40,318800.00,1695378.02,110428.77
KE,0.01,22.20,73249.85,99400.00
LN,0.01,49.63,394344.93,96700.00
GHG,0.00,24.31,607659.29,64850.00
WP,0.05,96.45,1520230.01,62125.80
RRR,0.00,36.64,600103.62,54950.00
RUN,0.01,15.96,1205609.17,47100.00
SUM,0.03,33.66,1179115.95,46633.33
AQB,0.01,26.49,55251.34,40471.43
JP,0.03,28.40,169003.83,39014.28
BKI,0.03,55.85,402168.30,38078.57
OPP,0.02,20.07,47002.80,35140.00
JPT,0.10,26.08,21233.33,21776.19
NK,0.00,34.99,341881.10,20166.67
HMI,0.01,22.91,335078.12,17899.34
PJT,0.05,10947.20,87590.22,16837.14
MRNS,0.04,118.60,431392.48,13852.37
BHF,0.02,70.00,886197.70,13245.16
SLGL,0.00,13.64,317787.53,12838.78
PI,0.15,59.37,978771.82,11905.88
JAX,0.01,12.75,48435.20,11519.05
BSM,0.05,19.55,10846198.99,11192.57
ERI,0.00,49.75,405613.77,10955.56
ARCH,0.05,100.71,448472.96,9557.14
NFLX,2.56,418.97,20661550.45,9432.22
JAG,0.14,16.35,805587.73,9359.26
VER,0.00,17.82,5165337.83,9111.76
YRIV,0.10,22.94,41030.05,6366.67
TWLO,0.00,81.16,2144592.41,5136.13
CTSO,0.03,14.99,481079.11,5004.17
MB,0.37,44.60,406581.50,4502.67
MED,3.52,224.79,272181.92,4441.21
GBT,1.15,65.90,768870.82,3933.58
TQQQ,1.52,68.68,17653201.07,3812.82
ARA,0.01,29.21,658829.27,3770.18
GTT,0.28,61.85,133758.60,3714.29
TREX,1.36,83.58,733187.62,3696.24
BW,0.02,23.66,977831.19,3400.00
CHRS,0.54,37.46,444045.51,3400.00
TREE,1.54,402.60,153755.38,3181.42
NRE,0.05,34.00,1448476.93,3167.34
FTSM,0.28,61.00,203867.87,3058.42
BLFS,0.28,25.48,73270.81,2933.33
COE,0.03,92.54,127188.12,2916.67
AMRH,0.05,9.00,250417.59,2900.00
RMBL,0.25,9.95,48090.04,2634.69
SNR,0.01,19.85,601220.70,2616.43
NBIX,2.00,119.36,668672.52,2526.33
HGSH,0.02,12.76,48743.37,2400.00
ABMD,4.90,446.21,426324.28,2398.56
CACC,11.67,464.91,82655.22,2332.32
AXGN,1.75,55.90,87087.35,2260.00
MITK,0.05,12.91,339719.90,2242.11
DPZ,2.83,297.95,711749.25,2227.73
EGAN,0.21,17.95,72818.51,2208.33
XPO,2.68,114.18,668438.30,2198.91
EGHT,0.42,22.70,657638.63,2147.52
ALGN,5.00,381.77,890133.67,2131.94
ZAGG,0.56,23.25,562785.05,2106.67
PLUS,4.01,104.30,55587.63,2104.32
AQN,0.39,11.28,36266.08,2072.34
BOFI,0.85,44.65,530259.77,2030.52
EXAS,0.35,70.51,1348016.41,1986.09
NHTC,0.05,53.72,92643.07,1966.92
AMZN,35.03,1919.65,5401519.39,1879.63
STMP,7.62,284.60,245474.61,1873.99
TPL,16.49,847.00,15278.64,1851.61
TYL,11.01,242.15,216704.81,1841.86
TCX,1.00,70.05,47380.06,1802.78
CBPO,1.26,142.46,117059.30,1786.89
GNL,0.00,27.96,299473.33,1736.21
STAA,0.80,44.80,165244.37,1706.45
BKNG,47.07,2206.09,964058.55,1551.63
INGN,13.81,246.04,188798.86,1524.03
EHT,0.60,10.25,52700.31,1521.67
REGN,12.05,592.40,826497.73,1497.33
GWPH,8.51,162.22,425613.20,1495.66
NEXT,0.07,14.56,117973.59,1480.49
SRPT,2.88,153.69,1328021.33,1463.85
PATK,0.11,71.40,140423.32,1462.43
ELLI,3.80,115.84,437249.70,1442.98
MKTX,4.31,224.59,201650.52,1425.90
DXCM,1.39,142.20,680950.62,1423.24
SSNT,0.16,6.00,7050.00,1420.83
ROST,5.37,95.09,5151287.21,1420.83
INVH,0.22,24.10,1015369.79,1418.95
NTR,2.78,58.05,1410918.80,1411.77
FIZZ,6.86,126.40,100951.96,1394.20
ODFL,8.46,163.21,789812.60,1385.75
CMD,3.36,129.78,189532.55,1370.82
RTRX,2.01,36.10,366759.87,1369.65
ULTA,4.29,313.73,798323.27,1360.24
ASGN,1.38,93.69,289890.94,1323.67
TARO,7.25,171.77,60295.62,1318.56
PARR,1.30,27.92,143601.68,1296.92
TBB,0.71,26.40,299763.64,1273.63
MSG,17.50,327.30,341209.49,1263.80
OPNT,0.02,50.50,112220.49,1258.33
TSLA,15.80,385.00,4816045.69,1251.28
CLFD,0.75,26.09,62697.87,1240.00
NEO,0.56,14.87,201949.37,1195.24
AVGO,14.49,284.62,2535676.89,1191.72
BRPAR,0.03,0.68,34801.39,1190.32
EW,10.65,155.12,1983401.72,1154.25
VIPS,0.43,30.00,7724969.51,1150.91
KIRK,0.60,28.72,176406.52,1145.36
LOXO,10.01,189.96,224712.68,1135.77
VRTS,4.04,247.12,58956.28,1124.29
LX,1.07,19.09,479896.47,1114.95
HBP,0.11,9.03,43138.85,1100.00
TAL,1.22,46.80,1834501.97,1090.40
EBS,4.99,60.87,307245.38,1076.42
DORM,3.31,86.25,163251.89,1060.52
ILMN,19.83,340.60,1679308.84,1043.72
NVMI,0.39,31.86,114989.77,1039.36
JAZZ,0.55,193.02,682522.19,1031.15
PEGA,4.51,65.40,355359.96,1025.00
NVEE,7.00,90.95,53316.74,1023.38
KINS,0.04,21.70,17171.61,1014.94
SWKS,3.81,116.33,3924029.27,1013.65
SWP,9.75,126.49,74762.68,1012.86
NTES,15.68,371.36,1032691.09,1008.98
DLTR,7.10,116.35,3327150.93,1007.78
FBK,3.81,44.68,364187.80,997.00
ALK,2.70,100.24,1969030.69,996.49
ALJJ,0.11,5.48,42785.34,973.68
FVC,1.19,29.16,4727827.24,964.23
IFV,0.16,24.22,263977.61,958.21
CNC,6.65,145.24,1387321.74,953.23
AMOT,1.17,51.33,31978.00,951.40
CGNX,2.39,72.43,1143732.29,940.36
AOS,3.55,67.84,1393350.19,937.74
TSCO,6.94,96.75,1739032.85,936.02
ENSG,2.05,39.70,285255.70,934.21
ATTU,0.32,20.55,47380.19,927.50
WLK,5.20,123.67,794111.86,923.05
ORLY,20.87,331.65,1218529.16,922.80
V,10.60,144.20,18341678.47,920.88
LOPE,11.85,121.98,342637.16,912.41
PFIE,0.10,5.78,118342.16,911.54
CRM,5.49,152.30,7363854.77,910.62
SHOO,4.02,58.55,675797.69,908.00
EPAM,13.40,141.00,361461.41,907.14
HTHT,2.74,49.48,851773.16,893.97
NEOG,5.98,88.78,207556.79,888.76
PAYC,12.41,150.94,600270.27,883.32
KS,0.52,35.43,740961.33,883.09
IMMU,0.84,26.14,1108653.43,881.50
MA,11.92,214.16,11866443.48,875.41
NKTR,2.83,108.44,1326106.38,868.03
FTNT,7.50,80.39,2001385.05,867.39
CSF,4.12,50.27,12322.35,864.11
JBSS,4.25,79.01,50687.50,862.37
MDSO,6.82,88.28,470796.23,860.82
CSGP,24.23,437.68,184436.88,858.88
EBIX,5.91,86.90,442268.46,854.25
ULTI,12.16,300.25,244519.28,851.97
HSTM,1.70,39.46,111233.56,839.64
NXST,0.50,84.00,322956.56,820.02
SPPI,0.92,24.53,1042426.21,815.30
SAIA,4.68,86.70,209919.43,806.47
STZ,10.80,234.22,1887842.43,784.16
MANH,3.45,76.96,641380.84,780.62
URI,3.03,189.40,1865885.53,778.84
CRUS,2.22,71.16,1949477.82,777.09
AMEH,0.10,30.00,11772.30,774.00
IAC,13.46,199.30,1386836.95,769.09
SAM,18.33,327.15,119039.52,766.95
BIB,4.85,104.69,352999.61,764.59
LGND,7.62,251.32,220813.42,761.87
CHTR,29.50,402.50,1139739.94,759.06
IDXX,13.72,251.13,695535.53,757.68
CAMP,0.37,34.41,312058.72,755.19
IPGP,6.83,263.34,374598.28,751.58
PFPT,10.05,128.72,514923.84,750.85
IT,8.38,145.37,530196.61,748.13
NMRD,0.25,8.00,11621.01,748.00
KWR,4.68,177.83,71540.08,746.09
USPH,7.21,118.55,56845.45,744.98
MNST,3.50,68.91,6073235.65,742.75
JBT,5.86,122.30,165007.99,740.74
ICUI,22.50,309.75,122575.73,734.25
MRTX,2.80,62.70,259502.25,731.21
SUPN,4.51,59.85,577136.71,729.61
HA,2.25,60.30,872214.28,728.00
NVDA,5.90,272.22,14416591.83,724.66
ROAD,1.46,13.95,68175.74,717.62
POOL,11.39,162.02,320694.74,712.93
OSS,0.05,6.10,48216.80,708.51
DSGX,2.12,34.65,30226.71,700.95
FLT,25.25,225.55,680357.77,700.33
EXPO,4.98,52.80,224903.58,698.49
RGEN,3.11,52.95,241265.73,696.24
SPNS,0.76,15.64,50223.34,691.33
SHW,42.98,449.03,1061346.01,691.14
NOW,23.74,194.66,1577357.84,686.83
TDG,24.24,375.54,468073.27,686.35
NSP,6.95,115.60,348603.39,686.30
MLAB,14.55,222.93,11111.47,685.69
JOBS,3.07,113.06,147149.98,682.58
CVCO,19.17,242.80,40682.36,680.96
AAPL,11.17,217.58,106333851.27,676.60
ADUS,2.88,70.30,62792.39,671.50
HD,18.00,207.23,9989681.13,670.97
TJX,9.21,108.06,6233050.26,670.76
WINS,6.70,452.00,8129.50,666.53
SSNC,6.74,57.60,706655.22,663.93
VRTX,14.59,182.59,2107015.26,663.89
RMR,11.89,90.05,54296.32,657.36
MGPI,0.50,98.06,78772.00,656.68
HIFS,23.00,235.25,2942.43,652.76
AAON,3.83,42.90,202207.64,643.11
TTWO,5.62,134.01,1988361.82,642.03
COHR,14.51,321.91,199089.19,638.03
CBM,1.50,66.15,252219.39,636.57
BCPC,12.60,105.95,122802.72,635.08
USNA,9.30,136.25,242379.68,634.90
RGR,4.52,84.94,300156.11,633.89
NEU,24.72,480.33,95012.86,625.26
LFVN,0.49,26.88,76289.46,624.03
WCG,6.23,303.21,607033.37,622.10
COR,12.58,119.54,273607.07,621.92
WINA,8.90,151.50,8315.61,621.19
MU,1.69,62.62,30716214.88,620.17
FICO,9.90,225.14,289038.44,616.09
SPSC,8.60,97.20,96774.64,614.71
AZPN,5.50,112.11,504567.67,614.08
HELE,8.57,117.70,201685.20,611.55
CENT,2.42,44.94,131776.21,607.19
HEI,4.57,80.42,460766.26,607.12
INCY,2.05,152.66,1670201.83,602.20
ROL,5.66,58.57,409400.63,598.00
INTU,20.19,218.31,2445987.43,595.89
FANG,16.04,136.76,1128788.96,595.71
CENTA,2.24,41.73,245733.71,595.20
AGN,20.76,339.50,2145408.58,595.16
FFIV,18.05,187.64,1643658.95,594.71
VAC,15.90,152.51,269571.81,593.89
HCI,4.36,53.50,95623.78,591.15
MMS,6.59,72.04,470705.82,590.56
MPWR,7.74,147.24,384488.22,588.68
RHT,7.89,176.27,2080759.25,587.52
PEN,0.50,165.95,194631.67,586.70
CRMT,7.30,84.50,73464.02,585.56
GIII,1.65,72.90,460619.72,584.77
COO,10.94,260.50,506703.58,584.16
SIX,8.00,72.76,809611.30,581.85
YY,11.30,140.39,1318732.97,581.26
GLPG,12.91,120.23,60858.89,579.38
POL,1.34,46.48,622507.76,571.14
BURL,24.26,168.09,1039385.09,569.61
ASML,12.66,220.78,1871818.87,566.16
JKHY,14.35,158.47,469923.04,563.61
EXR,5.10,100.96,919596.50,563.30
AZO,89.09,815.98,491795.30,563.04
HII,22.85,270.88,354767.61,560.47
SGEN,7.23,75.88,978823.05,560.09
PCRX,6.23,119.27,575615.03,558.12
CTAS,18.15,212.87,904221.96,557.28
NXPI,10.68,125.71,3066169.92,557.00
WIX,14.76,110.85,417973.53,555.12
SIVB,12.04,328.73,518053.17,554.24
WAB,11.68,113.74,818279.38,550.43
AMBA,6.00,126.70,1361003.11,547.69
LFUS,8.87,234.94,131836.32,546.24
ZIV,10.66,93.87,68124.76,545.84
VG,0.33,14.56,2181140.12,545.25
HDP,3.25,29.20,762812.40,544.94
SXI,7.97,112.10,57123.64,543.14
HF,1.15,51.35,169879.28,542.78
CXO,15.18,161.66,1227734.75,539.73
QLYS,10.75,97.05,311316.89,535.95
OZRK,3.54,56.45,697297.13,530.10
LAD,1.55,126.57,317666.67,529.42
EL,9.98,158.03,2513088.40,528.90
TXRH,4.46,70.10,797353.62,528.60
EGRX,9.31,100.56,300349.61,528.22
ADBE,15.98,263.17,4868832.66,526.97
ALXN,12.74,207.84,1818758.99,522.43
RDCM,0.40,22.05,39941.87,521.62
FIVN,3.58,47.46,392698.28,521.20
LULU,2.24,138.76,2608382.85,519.19
SMP,1.40,55.08,131866.37,516.59
UVE,1.75,45.45,258528.35,513.51
DJCO,31.01,276.41,1961.99,513.33
CAMT,0.25,10.78,166935.59,512.94
BIIB,39.02,475.98,2122817.26,512.73
OLED,5.04,205.60,726719.54,511.53
PRI,19.28,121.55,317550.38,507.89
CPRT,5.82,63.00,1706361.63,507.26
BGNE,23.98,216.77,211492.90,506.04
ENV,9.60,62.30,221392.13,505.57
BR,9.72,134.33,783246.35,503.73
IRBT,7.10,108.07,438723.30,501.73
CVGW,6.37,105.50,95777.48,498.41
SQ,8.37,78.18,7814239.80,498.16
UHAL,22.28,436.28,50054.51,497.46
TWOU,10.77,98.08,456787.68,495.14
LMAT,1.86,41.02,60183.26,494.50
SODA,12.02,142.60,792775.03,490.26
GIB,6.70,65.97,205064.09,489.78
CHE,32.04,333.26,178615.18,488.03
BLUE,17.53,233.05,815102.75,487.89
BIDU,10.45,284.07,10910010.33,487.51
HLF,3.07,59.40,3999245.26,484.66
LEA,28.13,205.34,918992.01,483.89
TCMD,11.08,65.19,185608.21,483.48
GWRE,17.12,99.38,485442.58,480.49
RETA,13.07,78.26,174675.49,480.03
FISV,7.24,80.03,3736921.89,479.30
FSBW,10.00,65.49,9002.05,479.12
WST,14.06,117.25,357743.48,478.75
FCFS,7.54,95.15,233967.15,477.33
MYOK,6.73,61.10,246601.27,476.92
AERI,9.37,73.90,509149.30,474.93
